,R1,G1,B1,R2,G2,B2
BUF,0,51,141,198,12,48
MIA,0,141,151,245,129,32
NE,13,37,76,200,8,25
NYJ,12,55,29,255,255,255
BAL,40,3,83,208,178,64
CIN,251,79,20,0,0,0
CLE,38,32,30,254,60,0
PIT,255,182,18,0,0,0
HOU,2,37,58,179,27,52
IND,0,59,123,255,255,255
JAX,0,101,118,215,162,42
TEN,100,143,204,13,37,76
DEN,251,79,20,0,34,68
KC,178,0,50,242,200,0
LV,196,200,203,0,0,0
LAC,0,114,206,255,184,28
DAL,197,206,214,13,37,76
NYG,25,47,107,202,0,26
PHI,0,59,72,192,192,192
WAS,119,49,65,255,182,18
CHI,3,32,47,221,72,20
DET,0,109,176,197,199,202
GB,32,55,49,255,182,18
MIN,59,1,96,240,191,0
ATL,189,13,24,0,0,0
CAR,0,103,206,0,0,0
NO,210,184,135,0,0,0
TB,214,10,11,0,0,0
ARI,155,39,67,255,255,255
LAR,19,38,75,201,175,116
SEA,0,21,50,105,190,40
SF,175,30,44,230,190,138
